Otázky a odpovede,0.0282624851367477
Sexuálne harašenie,0.03377591262596215
CD-Rómovia,0.033510954480364605
Zo života,0.021710888029824526
V obchodoch,0.04970515816828402
Morbídne,0.022319709755610147
Zo školských lavíc,0.0372419589493528
Mužské pokolenie,0.03263499118165458
Ženské pokolenie,0.03662367724867523
Zvieracia farma,0.029954219916382842
Náboženský humor,0.042537250105038955
Láska, bože láska,0.03395452968814067
Blondína z Londýna,0.06446250231969426
Počítačové šialenstvo,0.03526906000152103
Ach tie babky,0.059845459054479376
Alkoholické opojenie,0.03735664704994786
Manželské pochúťky,0.04775803093396968
Policajné inferno,0.05338575985729986
Svokry,0.08482405307802171
Cudzinci versus cudzinci,0.054629131552208526
Na homosexuálnu nôtu,0.050268308080808295
Páni a ich sluhovia,0.1278935185185183
Politické pobavenie,0.03037516606252969
